date,time,commit,violations
2011-10-31,21:28:28,331755ce3031d1db722c50f36f09ba08cb7ebf14,0
2011-10-31,21:44:17,11a9eff375161f6a4f0bceb0c551b0d08023a6e0,0
2011-11-01,10:01:30,171dda1ac5803f034b785acfde5e38e61be108e7,0
2011-11-01,10:33:57,77480346a08f755c09b2b569158814195ea28ae4,0
2011-11-01,12:17:38,418189da96b474db51487dbf3557adceaacb165a,0
2011-11-01,12:19:11,24ee9a7401830223d3290b098f3f49e36dcdde51,0
2011-11-01,18:04:00,785842ba97293ce8835407056dcc774428c32271,0
2011-11-02,16:09:40,d8da28700c2dddec9d867ed96d6e4ff09a903d3e,0
2011-11-03,16:37:34,bad298a2ab3daeecd631cff4b8a5a8a650baaae6,0
2011-11-07,12:35:34,f3f72b12f740f9e6f7f927d8669c99b817a26c7f,0
2011-11-07,12:44:00,f2ce0c5de53d60e8921ebb56579aa28158d2a45e,0
2011-11-07,12:45:58,3741d8aba562be5b1d078c2a94488a00d86c31f6,0
2011-11-08,15:52:14,0d577ea7573cbe3121837fc156beb105da0b3076,-4
2011-11-08,15:53:57,f83452b37ad21a79e444a96f05cf43cc72f673c2,0
2011-11-09,14:43:42,32beac5faec3eb20b386b5ccbf26cf033c417281,0
2011-11-09,14:46:38,5807178d4737ae80f4d1eada6b286e9d1b7f6857,0
2011-11-10,10:24:35,8be7bc8cc96e1a351577cda968e921aa2a307332,0
2011-11-10,12:17:32,1aec58f05f56c6fea8cdd5ce7851f5bebcab4da7,0
2011-11-11,14:23:16,f9da6b3b414c3da8066d8ae47de95db07fe16af6,0
2011-11-11,14:48:32,21faaa84aa03857385deadefbd2a796a86a417d1,0
2011-11-14,16:19:34,90ecc0134dc679d45bc9652dcf3899442063ac4a,0
2011-11-14,16:56:10,208eec4834278ef536a2fb0542b4b2a3a41494f7,0
2011-11-15,11:41:37,24225c764c94af1e8c0d860668bc1d592db24919,0
2011-11-15,12:57:19,8748c8ee3fe2f37d175c903ea97fabece72b6b61,0
2011-11-25,14:53:17,4a77af44c865954ab0b08e9faa38123886718878,0
2011-11-25,15:00:50,0474a8369f29e4553d0038a68d16add219d27b03,0
2011-11-28,12:57:17,00bca3ae9b00fab5ccdf76acacff59bd426b1db4,0
2011-11-29,16:00:19,c83630dc4f3a4b2cab7a8193e03b4165660c84c3,0
2011-11-29,16:06:48,b649ee7852a947d76049802c1bf2861c1ca5fb74,0
2011-12-06,14:06:26,fdb867850626be3b279f8d12cb37a84cbeac4b1f,0
2011-12-06,15:39:40,ab653eded836679ee6a60a258daa8450d1a4581f,0
2011-12-12,16:48:51,f4811879221b6df2fa8935376f354d6cca21dbef,0
2011-12-12,17:08:22,a7c6ac96f6ebe1bafc110ceef2a02b4d1ad8426f,0
2011-12-13,13:40:29,bf69bb7cc35a9f2ac9170d9e649e919bbc3074d8,0
2011-12-14,16:39:12,fec8778ad6f9f05a4bddc86e1c5560ca6921039e,0
2011-12-15,12:01:20,038384fcb2e1ab8c57471abcfa250338ddda7b6e,0
2011-12-15,17:03:15,666208eebd068739c9b80c4cac611d346bfa3e94,0
2012-01-11,14:18:35,750aed127c72085e0144bce08fa00b4626985837,0
2012-01-11,14:19:39,b960e79e9e6a990d4075bc459747887130390137,0
2012-01-12,08:30:43,946cd7d1dbf4ffb4553f3bbf00daf49ccb3d4d60,0
2012-01-13,14:06:14,d2864b3c8edf5ae7514c6312200bdc04f8c76253,0
2012-02-02,09:32:53,a60e2463f23c80ced4638e2581a0c86a75ee2226,0
2012-02-02,09:38:05,ec5ab7f7d12e6ffac1b683d43ef90966702d0c31,0
2012-02-02,09:53:42,21ac9a576faca0db4a9b40b084e191bbc2918df6,0
2012-02-02,10:18:22,b448c7674d6023a31f78351fb72a2c67e3e71e2a,0
2012-02-02,10:50:56,24b50f1da1c2d04cd862900d736849ef284ad65a,0
2012-02-02,15:09:43,1521d242abad444b3f2e06f877a5bc473d0d96a3,0
2012-02-02,15:12:28,6396236ba02be80eddf0ae4d6cf2bd7ae7a5068c,0
2012-02-08,10:47:16,06fbd48cb5f7f0e8d42b7f0d4275a35270e7bf48,0
2012-02-09,12:42:20,318370f191fa0392a0cd8d94678311adbaf2ad09,0
2012-02-14,14:34:17,0f400b46fa5015f82dd00706c7e2e73ceaec887d,0
